,movie,url,vector
70,Tombstone,http://www.imsdb.com/scripts/Tombstone.html,"[240, 189, 420, 20, 79, 25, 4, 4, 10, 0, 19, 0, 20, 3, 0, 0, 0, 58, 104, 0, 1, 21, 6, 6, 0, 5, 0, 1, 0, 6, 10, 0, 0, 0]"
71,True Romance,http://www.imsdb.com/scripts/True-Romance.html,"[368, 156, 213, 11, 30, 21, 0, 0, 1, 0, 13, 0, 0, 3, 2, 2, 0, 151, 163, 0, 6, 7, 24, 4, 0, 5, 1, 0, 0, 2, 11, 1, 0, 0]"
72,Ghost,http://www.imsdb.com/scripts/Ghost.html,"[414, 145, 276, 12, 44, 2, 8, 2, 2, 0, 2, 0, 0, 4, 1, 0, 0, 244, 323, 0, 11, 38, 4, 12, 0, 4, 1, 0, 0, 7, 3, 0, 0, 1]"
73,Aladdin,http://www.imsdb.com/scripts/Aladdin.html,"[276, 105, 186, 9, 35, 29, 2, 5, 11, 0, 1, 0, 1, 5, 0, 0, 0, 81, 62, 0, 0, 5, 5, 6, 0, 1, 0, 9, 0, 1, 1, 0, 0, 0]"
74,Dances with Wolves,http://www.imsdb.com/scripts/Dances-with-Wolves.html,"[721, 176, 733, 30, 114, 28, 2, 14, 7, 3, 4, 0, 0, 8, 0, 1, 0, 143, 142, 0, 11, 15, 13, 0, 0, 7, 0, 1, 0, 0, 10, 0, 0, 0]"
75,Batman,http://www.imsdb.com/scripts/Batman.html,"[433, 139, 428, 25, 29, 25, 3, 6, 2, 0, 1, 0, 2, 3, 1, 0, 0, 138, 154, 0, 7, 10, 7, 12, 0, 1, 0, 0, 0, 0, 7, 1, 0, 0]"
76,Beauty and the Beast,http://www.imsdb.com/scripts/Beauty-and-the-Beast.html,"[222, 106, 236, 16, 9, 11, 2, 2, 32, 0, 0, 0, 0, 1, 0, 0, 0, 208, 208, 0, 7, 12, 31, 1, 0, 18, 1, 9, 0, 0, 14, 0, 0, 0]"
77,Pretty Woman,http://www.imsdb.com/scripts/Pretty-Woman.html,"[243, 114, 147, 10, 32, 4, 0, 10, 10, 0, 6, 1, 0, 0, 0, 2, 0, 305, 244, 1, 8, 21, 22, 9, 0, 4, 0, 0, 0, 0, 6, 3, 0, 3]"
78,The Wild Bunch,"http://www.imsdb.com/scripts/Wild-Bunch,-The.html","[297, 232, 337, 15, 61, 18, 0, 5, 5, 4, 8, 1, 11, 2, 0, 0, 0, 22, 30, 0, 1, 15, 19, 6, 0, 6, 1, 2, 0, 3, 0, 0, 0, 0]"
79,Fargo,http://www.imsdb.com/scripts/Fargo.html,"[203, 53, 170, 2, 67, 5, 0, 14, 2, 0, 1, 0, 1, 0, 0, 0, 0, 75, 94, 1, 3, 20, 2, 2, 0, 0, 0, 6, 0, 0, 22, 0, 0, 0]"
80,Heavy Metal,http://www.imsdb.com/scripts/Heavy-Metal.html,"[129, 64, 129, 14, 35, 10, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 73, 98, 0, 2, 6, 44, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0]"
81,Jane Eyre,http://www.imsdb.com/scripts/Jane-Eyre.html,"[222, 99, 139, 11, 18, 1, 3, 60, 10, 0, 1, 0, 5, 2, 0, 10, 0, 438, 570, 0, 35, 21, 24, 11, 2, 10, 0, 5, 0, 6, 18, 0, 11, 1]"
82,The Rock,"http://www.imsdb.com/scripts/Rock,-The.html","[154, 84, 174, 15, 38, 1, 0, 57, 2, 0, 7, 0, 0, 0, 0, 0, 0, 14, 20, 0, 0, 6, 1, 0, 2, 4, 0, 5, 0, 0, 2, 2, 1, 0]"
83,Trainspotting,http://www.imsdb.com/scripts/Trainspotting.html,"[196, 78, 129, 7, 54, 145, 0, 6, 25, 0, 6, 0, 1, 0, 1, 0, 0, 39, 29, 0, 3, 20, 7, 1, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0]"
84,Independence Day,http://www.imsdb.com/scripts/Independence-Day.html,"[183, 101, 208, 8, 21, 13, 0, 31, 9, 0, 5, 0, 4, 2, 0, 1, 0, 68, 89, 0, 2, 5, 1, 7, 0, 23, 0, 9, 0, 2, 6, 0, 0, 0]"
85,Lone Star,http://www.imsdb.com/scripts/Lone-Star.html,"[296, 122, 167, 7, 52, 21, 1, 17, 41, 0, 19, 0, 1, 1, 0, 1, 0, 75, 95, 1, 3, 15, 15, 2, 0, 33, 0, 5, 0, 1, 2, 1, 0, 0]"
86,Basquiat,http://www.imsdb.com/scripts/Basquiat.html,"[352, 93, 179, 17, 37, 6, 0, 1, 6, 0, 2, 0, 2, 1, 1, 0, 0, 80, 64, 0, 1, 12, 6, 0, 0, 10, 0, 1, 0, 0, 4, 3, 0, 0]"
87,Tin Cup,http://www.imsdb.com/scripts/Tin-Cup.html,"[308, 67, 193, 16, 47, 3, 2, 0, 2, 0, 7, 1, 1, 0, 4, 0, 0, 100, 63, 0, 3, 15, 1, 16, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0]"
88,Bound,http://www.imsdb.com/scripts/Bound.html,"[337, 98, 158, 7, 18, 3, 0, 4, 4, 0, 7, 0, 1, 1, 0, 0, 0, 246, 245, 0, 5, 22, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,The Relic,"http://www.imsdb.com/scripts/Relic,-The.html","[277, 63, 260, 12, 35, 1, 2, 4, 3, 0, 1, 0, 0, 0, 0, 0, 0, 102, 103, 0, 3, 9, 2, 1, 0, 3, 0, 4, 0, 0, 13, 0, 0, 0]"
90,Rear Window,http://www.imsdb.com/scripts/Rear-Window.html,"[666, 193, 510, 25, 62, 4, 0, 0, 2, 0, 0, 0, 0, 17, 0, 0, 0, 436, 371, 1, 11, 38, 28, 7, 1, 0, 0, 0, 0, 0, 41, 0, 0, 0]"
91,It Happened One Night,http://www.imsdb.com/scripts/It-Happened-One-Night.html,"[451, 205, 410, 20, 73, 48, 0, 19, 33, 0, 11, 0, 1, 10, 0, 1, 0, 350, 523, 1, 21, 24, 29, 10, 0, 7, 0, 15, 0, 6, 45, 0, 3, 0]"
92,The Apartment,"http://www.imsdb.com/scripts/Apartment,-The.html","[369, 111, 283, 17, 34, 25, 1, 20, 0, 0, 0, 1, 4, 4, 0, 1, 1, 181, 281, 0, 7, 5, 29, 8, 0, 6, 0, 0, 0, 6, 20, 0, 1, 0]"
93,Charade,http://www.imsdb.com/scripts/Charade.html,"[430, 169, 255, 9, 72, 10, 6, 1, 1, 0, 0, 0, 8, 17, 0, 0, 0, 236, 195, 3, 3, 9, 12, 3, 0, 3, 0, 0, 0, 0, 1, 0, 2, 0]"
94,The Wizard of Oz,"http://www.imsdb.com/scripts/Wizard-of-Oz,-The.html","[167, 118, 70, 3, 391, 1, 0, 8, 2, 0, 0, 0, 1, 0, 0, 45, 0, 228, 189, 0, 3, 7, 7, 4, 0, 0, 0, 0, 0, 2, 2, 0, 69, 0]"
95,Citizen Kane,http://www.imsdb.com/scripts/Citizen-Kane.html,"[426, 180, 278, 35, 63, 14, 2, 10, 5, 0, 12, 0, 0, 5, 0, 2, 0, 146, 152, 2, 2, 9, 20, 8, 1, 13, 0, 1, 0, 3, 9, 0, 0, 4]"
96,All About Eve,http://www.imsdb.com/scripts/All-About-Eve.html,"[215, 50, 85, 3, 20, 1, 0, 1, 4, 0, 0, 0, 3, 5, 0, 0, 0, 406, 350, 2, 5, 18, 50, 11, 0, 7, 0, 0, 0, 2, 5, 0, 0, 0]"
97,Ninotchka,http://www.imsdb.com/scripts/Ninotchka.html,"[210, 85, 107, 7, 23, 2, 1, 17, 4, 0, 2, 0, 0, 0, 0, 1, 0, 191, 237, 0, 13, 12, 11, 21, 0, 7, 0, 0, 0, 0, 2, 0, 0, 1]"
98,Lost Horizon,http://www.imsdb.com/scripts/Lost-Horizon.html,"[335, 134, 236, 28, 46, 7, 3, 12, 16, 0, 9, 0, 19, 0, 0, 0, 0, 96, 128, 0, 2, 11, 26, 3, 0, 7, 0, 0, 0, 3, 2, 0, 0, 0]"
